zone,sign,ruler,house,stage,start,end,nakshatra,nak_ruler
1,Aquarius,Ketu,1,Initiate,300,305,Shatabhisha,Rahu
2,Aquarius,Ketu,1,Sustain,305,321,Purvabhadrapada,Jupiter
3,Aquarius,Ketu,1,End,321,330,Uttarabhadrapada,Saturn
4,Pisces,Jupiter,2,Initiate,330,340,Uttarabhadrapada,Saturn
5,Pisces,Jupiter,2,Sustain,340,357,Revati,Mercury
6,Pisces,Jupiter,2,End,357,360,Aswini,Ketu
7,Aries,Mars,3,Initiate,0,4,Aswini,Ketu
8,Aries,Mars,3,Sustain,4,24,Bharani,Venus
9,Aries,Mars,3,End,24,30,Krittika,Sun
10,Taurus,Venus,4,Initiate,30,40,Mrigashirsha,Moon
11,Taurus,Venus,4,Sustain,40,47,Rohini,Mars
12,Taurus,Venus,4,End,47,60,Ardra,Rahu
13,Gemini,Mercury,5,Initiate,60,65,Ardra,Rahu
14,Gemini,Mercury,5,Sustain,65,81,Punarvasu,Jupiter
15,Gemini,Mercury,5,End,81,90,Pushya,Saturn
16,Cancer,Moon,6,Initiate,90,100,Pushya,Saturn
17,Cancer,Moon,6,Sustain,100,117,Ashlesha,Mercury
18,Cancer,Moon,6,End,117,120,Magha,Ketu
19,Leo,Raghu,7,Initiate,120,124,Magha,Ketu
20,Leo,Raghu,7,Sustain,124,144,PurvaPhalguni,Venus
21,Leo,Raghu,7,End,144,150,UttaraPhalguni,Sun
22,Virgo,Mercury,8,Initiate,150,160,Hasta,Moon
23,Virgo,Mercury,8,Sustain,160,167,Chitra,Mars
24,Virgo,Mercury,8,End,167,180,Swathi,Rahu
25,Libra,Venus,9,Initiate,180,185,Swathi,Rahu
26,Libra,Venus,9,Sustain,185,201,Vishaka,Jupiter
27,Libra,Venus,9,End,201,210,Jyeshta,Saturn
28,Scorpio,Mars,10,Initiate,210,220,Jyeshta,Saturn
29,Scorpio,Mars,10,Sustain,220,237,Anuradha,Mercury
30,Scorpio,Mars,10,End,237,240,Mula,Ketu
31,Sagittarius,Jupiter,11,Initiate,240,244,Mula,Ketu
32,Sagittarius,Jupiter,11,Sustain,244,264,PurvaAshada,Venus
33,Sagittarius,Jupiter,11,End,264,270,UttaraAshada,Sun
34,Capricorn,Sun,12,Initiate,270,280,Shravana,Moon
35,Capricorn,Sun,12,Sustain,280,287,Dhanishta,Mars
36,Capricorn,Sun,12,End,287,300,Shatabhisha,Rahu
